Item ID,Category,Item Name,Current Quantity,Min Quantity,Reorder Trigger,Reorder Quantity,Subcategory,Unit,Supplier,Unit Cost,Total Value,Location,Last Ordered,Last Count Date,Product Number,Order Number,Last Order Quantity,Package Size,Is Sharpenable,Is Consumable,Status,Notes,Unit Weight (g),Pieces per 100g,Reorder URL,Specifications
TCS-CNC-BIT-05,CNC,Amana Tool CNC Router Bit (Up-cut),0.0,1,2,2,Bits,Each,Amana Tool,$0.00,$0.00,CNC Cabinet,MM/DD/YYYY,MM/DD/YYYY,46180-K,,,,No,,,,,,,"{""product_number"": ""46180-K"", ""name"": ""Amana Tool CNC Router Bit (Up-cut)"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": 0.125, ""unit"": ""inches""}, ""cutting_height"": {""value"": 0.8125, ""unit"": ""inches""}, ""shank_diameter"": {""value"": 0.125, ""unit"": ""inches""}, ""overall_length"": {""value"": 2.5, ""unit"": ""inches""}, ""flutes"": 2, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite"", ""hardness"": {""value"": 4500, ""unit"": ""Vickers""}}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": [""Wood"", ""Plywood"", ""MDF"", ""Laminate""], ""bit_type"": ""compression"", ""surface_finish"": ""clean finish on both surfaces""}"
TCS-CNC-BIT-06,CNC,Amana Tool CNC Router Bit (Spiral),0.0,1,2,2,Bits,Each,Amana Tool,$102.69,$0.00,CNC Cabinet,03/11/2025,MM/DD/YYYY,46162-K,,,,No,Yes,,"Part #46179-K, 3-1/2 Inch Long 2 Flute",,,https://www.amanatool.com/46179-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-5-8-inch-x-3-8-shank.html,"{""product_number"": ""46162-K"", ""name"": ""Amana Tool CNC Router Bit (Spiral)"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": null, ""unit"": ""inches""}, ""cutting_height"": {""value"": null, ""unit"": ""inches""}, ""shank_diameter"": {""value"": null, ""unit"": ""inches""}, ""overall_length"": {""value"": null, ""unit"": ""inches""}, ""flutes"": 2, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite"", ""hardness"": {""value"": 4500, ""unit"": ""Vickers""}}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": [""Wood"", ""Plywood"", ""Laminate""], ""bit_type"": ""spiral plunge"", ""surface_finish"": ""smooth cut"", ""reorder_url"": ""https://www.amanatool.com/46179-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-5-8-inch-x-3-8-shank.html""}"
TCS-EDGE-WOOD-01,Edge Banding,Edgebanding - Maple (250 ft),0.0,1,1,2,Wood,Roll,Richelieu,$58.00,$0.00,Edge Banding Area,03/25/2025,MM/DD/YYYY,1078250M5,N690619,,,No,Yes,,"Product #1078250M5, Pre-glued 7/8"" width (22mm) maple veneer, Order #N690619",,,https://www.richelieu.com/us/en/search?text=1078250M5,"{""species"": ""Maple"", ""width"": {""value"": 0.875, ""unit"": ""inches""}, ""thickness"": {""value"": 0.026, ""unit"": ""inches""}, ""length"": {""value"": 250, ""unit"": ""feet""}, ""type"": ""Pre-glued veneer"", ""adhesive"": ""Thermo fusible"", ""application_method"": ""Iron-on"", ""certifications"": [""GREENGUARD""], ""formaldehyde_content"": ""< 0.5 mg/m\u00b3"", ""voc_level"": ""Low""}"
TCS-EDGE-WOOD-02,Edge Banding,"Pre-glued 7/8"" width (22mm) maple veneer (Finished)",0.0,1,1,2,Wood,Roll,Richelieu,$95.00,$0.00,Edge Banding Area,02/12/2025,MM/DD/YYYY,1078500,N311146,,,No,Yes,,"Product #1078500, Pre-glued 7/8"" width (22mm) maple veneer, Order #N311146",,,https://www.richelieu.com/us/en/search?text=1078500,"{""species"": ""Maple"", ""width"": {""value"": 0.875, ""unit"": ""inches"", ""metric"": {""value"": 22, ""unit"": ""mm""}}, ""thickness"": {""value"": 0.026, ""unit"": ""inches""}, ""type"": ""Pre-glued veneer"", ""finish"": ""Pre-finished"", ""adhesive"": ""Thermo fusible"", ""application_method"": ""Iron-on"", ""certifications"": [""GREENGUARD""], ""formaldehyde_content"": ""< 0.5 mg/m\u00b3""}"
TCS-FAST-KREG-03,Fasteners,"Plain Wood Screw, Flat Head With Nibs (1-1/2"" #6)",0.0,1,1,2,Screws,Box,Richelieu,$85.00,$0.00,Wall Bin C3,01/22/2025,MM/DD/YYYY,FQ2CN17P6112PR,HF3001A,,7000,No,Yes,,"Product #FQ2CN17P6112PR, Flat head with nibs, Quadrex drive, Coarse thread, Type 17 point, Box of 7000, Order #HF3001A",3.2,31,https://www.richelieu.com/us/en/search?text=FQ2CN17P6112PR,"{""screw_size"": 6, ""length"": {""value"": 1.5, ""unit"": ""inches""}, ""drive_type"": ""Quadrex"", ""head_type"": ""Flat head with nibs"", ""thread_type"": ""Coarse"", ""point_type"": ""Type 17"", ""material"": ""Steel"", ""finish"": ""Plain"", ""self_countersinking"": true, ""box_quantity"": 7000, ""unit_weight"": {""value"": 3.2, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 31, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-KREG-04,Fasteners,"Black Phosphate Wood Screw (1-1/2"" #8)",1.0,1,1,2,Screws,Box,Richelieu,$85.00,$0.00,Wall Bin C4,12/26/2024,MM/DD/YYYY,FSCN17BP8112PR,NZ49155,,7000,No,Yes,,"Product #FSCN17BP8112PR, Black phosphate finish, Flat head with nibs, Square drive, Coarse thread, Type 17 point, Box of 7000, Order #NZ49155",4.5,22,https://www.richelieu.com/us/en/search?text=FSCN17BP8112PR,"{""screw_size"": 8, ""length"": {""value"": 1.5, ""unit"": ""inches""}, ""drive_type"": ""Square"", ""head_type"": ""Flat head with nibs"", ""thread_type"": ""Coarse"", ""point_type"": ""Type 17"", ""material"": ""Steel"", ""finish"": ""Black phosphate"", ""corrosion_resistance"": ""Enhanced"", ""self_countersinking"": true, ""box_quantity"": 7000, ""unit_weight"": {""value"": 4.5, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 22, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-NAIL-01,Fasteners,"RELIABLE Galvanized Brad Nails - 18 Gauge (1-1/4"")",2.5,1,1,2,Nails,Box,Richelieu,$42.00,$0.00,Wall Bin E1,01/21/2025,MM/DD/YYYY,91291114,N127002,,5000,No,Yes,,"Product #91291114, 18 gauge brad nails, galvanized finish, Box of 5000, Order #N127002",0.8,125,https://www.richelieu.com/us/en/search?text=91291114,"{""gauge"": 18, ""length"": {""value"": 1.25, ""unit"": ""inches""}, ""head_type"": ""Brad"", ""material"": ""Steel"", ""finish"": ""Galvanized"", ""compatibility"": ""18 gauge nailers"", ""box_quantity"": 5000, ""unit_weight"": {""value"": 0.8, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 125, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-NAIL-02,Fasteners,"RELIABLE Galvanized Brad Nails - 18 Gauge (1"")",0.0,1,1,2,Nails,Box,Richelieu,$38.00,$0.00,Wall Bin E2,01/21/2025,MM/DD/YYYY,912910100,N127001,,5000,No,Yes,,"Product #912910100, 18 gauge brad nails, galvanized finish, Box of 5000, Order #N127001",0.6,167,https://www.richelieu.com/us/en/search?text=912910100,"{""gauge"": 18, ""length"": {""value"": 1.0, ""unit"": ""inches""}, ""head_type"": ""Brad"", ""material"": ""Steel"", ""finish"": ""Galvanized"", ""compatibility"": ""18 gauge nailers"", ""box_quantity"": 5000, ""unit_weight"": {""value"": 0.6, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 167, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-NAIL-03,Fasteners,"Headless Pin 23 Gauge (1-3/8"")",0.25,1,1,2,Nails,Box,Richelieu,$65.00,$0.00,Wall Bin E3,01/21/2025,MM/DD/YYYY,NAI23GS18PR,N127002,,10000,No,Yes,,"Product #NAI23GS18PR, 23 gauge headless pin nails, Box of 10000, Order #N127002",0.4,250,https://www.richelieu.com/us/en/search?text=NAI23GS18PR,"{""gauge"": 23, ""length"": {""value"": 1.375, ""unit"": ""inches""}, ""head_type"": ""Headless pin"", ""material"": ""Steel"", ""finish"": ""Galvanized"", ""compatibility"": ""23 gauge nailers"", ""box_quantity"": 10000, ""unit_weight"": {""value"": 0.4, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 250, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-NAIL-04,Fasteners,"RELIABLE Galvanized Brad Nails - 18 Gauge (2"")",0.0,1,1,2,Nails,Box,Richelieu,$46.00,$0.00,Wall Bin E4,01/21/2025,MM/DD/YYYY,91291200,N127001,,5000,No,Yes,,"Product #91291200, 18 gauge brad nails, galvanized finish, Box of 5000, Order #N127001",1.2,83,https://www.richelieu.com/us/en/search?text=91291200,"{""gauge"": 18, ""length"": {""value"": 2.0, ""unit"": ""inches""}, ""head_type"": ""Brad"", ""material"": ""Steel"", ""finish"": ""Galvanized"", ""compatibility"": ""18 gauge nailers"", ""box_quantity"": 5000, ""unit_weight"": {""value"": 1.2, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 83, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-SCREW-01,Fasteners,"Plain Wood Screw, Flat Head, Quadrex Drive (2"" #8)",1.0,1,1,2,Screws,Box,Richelieu,$85.00,$0.00,Wall Bin D1,03/26/2025,MM/DD/YYYY,FQCPX8112PR,N706533,,7000,No,Yes,,"Product #FQCPX8112PR, Flat head with Quadrex drive, Coarse thread, Box of 7000, Order #N706533",5.2,19,https://www.richelieu.com/us/en/search?text=FQCPX8112PR,"{""screw_size"": 8, ""length"": {""value"": 2.0, ""unit"": ""inches""}, ""drive_type"": ""Quadrex"", ""head_type"": ""Flat head"", ""thread_type"": ""Coarse"", ""point_type"": ""Regular wood point"", ""material"": ""Steel"", ""finish"": ""Plain"", ""box_quantity"": 7000, ""unit_weight"": {""value"": 5.2, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 19, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-SCREW-02,Fasteners,"Plain Wood Screw, Flat Head, Quadrex Drive (3"" #8)",0.0,1,1,2,Screws,Box,Richelieu,$65.00,$0.00,Wall Bin D2,03/26/2025,MM/DD/YYYY,FQCPX83PR,N706533,,2000,No,Yes,,"Product #FQCPX83PR, Flat head with Quadrex drive, Coarse thread, Box of 2000, Order #N706533",7.8,13,https://www.richelieu.com/us/en/search?text=FQCPX83PR,"{""screw_size"": 8, ""length"": {""value"": 3.0, ""unit"": ""inches""}, ""drive_type"": ""Quadrex"", ""head_type"": ""Flat head"", ""thread_type"": ""Coarse"", ""point_type"": ""Regular wood point"", ""material"": ""Steel"", ""finish"": ""Plain"", ""box_quantity"": 2000, ""unit_weight"": {""value"": 7.8, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 13, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-SCREW-03,Fasteners,"Plain Wood Screw, Flat Head, Quadrex Drive (1-1/4"" #6)",0.0,1,1,2,Screws,Box,Richelieu,$90.00,$0.00,Wall Bin D3,03/26/2025,MM/DD/YYYY,FQC2PX6114PR,N706534,,8000,No,Yes,,"Product #FQC2PX6114PR, Flat head with Quadrex drive, Coarse thread, Box of 8000, Order #N706534",2.5,40,https://www.richelieu.com/us/en/search?text=FQC2PX6114PR,"{""screw_size"": 6, ""length"": {""value"": 1.25, ""unit"": ""inches""}, ""drive_type"": ""Quadrex"", ""head_type"": ""Flat head"", ""thread_type"": ""Coarse"", ""point_type"": ""Regular wood point"", ""material"": ""Steel"", ""finish"": ""Plain"", ""box_quantity"": 8000, ""unit_weight"": {""value"": 2.5, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 40, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-FAST-SCREW-04,Fasteners,"Plain Wood Screw, Flat Head, Quadrex Drive (1-1/2"" #6)",1.0,1,1,2,Screws,Box,Richelieu,$45.00,$0.00,Wall Bin D4,03/26/2025,MM/DD/YYYY,FQCP84PR,N706535,,1200,No,Yes,,"Product #FQCP84PR, Flat head with Quadrex drive, Coarse thread, Box of 1200, Order #N706535",3.2,31,https://www.richelieu.com/us/en/search?text=FQCP84PR,"{""screw_size"": 6, ""length"": {""value"": 1.5, ""unit"": ""inches""}, ""drive_type"": ""Quadrex"", ""head_type"": ""Flat head"", ""thread_type"": ""Coarse"", ""point_type"": ""Regular wood point"", ""material"": ""Steel"", ""finish"": ""Plain"", ""box_quantity"": 1200, ""unit_weight"": {""value"": 3.2, ""unit"": ""grams""}, ""bulk_counting"": {""pieces_per_100_grams"": 31, ""recommended_scale_accuracy"": ""0.1 grams""}}"
TCS-HW-HINGE-01,Hardware,CLIP top BLUMOTION Hinge for Blind Corners,0.0,10,20,40,Hinges,Each,Richelieu/Blum,$8.25,$0.00,Wall Bin A1,03/26/2025,MM/DD/YYYY,79B959180,N706532,38,,No,Yes,,"Product #79B959180, 110° opening angle with integrated soft-close, Order #N706532 (38 units)",85,,https://www.richelieu.com/us/en/category/hinges-slides-and-opening-systems/hinges-and-accessories/european-style-hinges/blum-hinges/clip-top-blumotion/clip-top-blumotion-hinge-for-blind-corners/1052069/sku-79B959180,"{""product_number"": ""79B959180"", ""name"": ""CLIP top BLUMOTION Hinge for Blind Corners"", ""supplier"": ""Richelieu/Blum"", ""mounting"": ""screw-on"", ""load_capacity"": null, ""material"": {""base"": ""Steel"", ""finish"": ""Nickel plated""}, ""soft_close"": {""enabled"": true, ""type"": ""Integrated BLUMOTION"", ""deactivatable"": true}, ""dimensions"": {""cup_diameter"": 35, ""cup_depth"": 13, ""unit"": ""mm""}, ""compatibility"": {""cabinet_type"": [""frameless""], ""door_thickness"": {""min"": 16, ""max"": 28, ""unit"": ""mm""}}, ""opening_angle"": 95, ""durability_cycles"": 200000, ""unit_weight"": {""value"": 85, ""unit"": ""grams""}, ""reorder_url"": ""https://www.richelieu.com/us/en/category/hinges-slides-and-opening-systems/hinges-and-accessories/european-style-hinges/blum-hinges/clip-top-blumotion/clip-top-blumotion-hinge-for-blind-corners/1052069/sku-79B959180""}"
TCS-HW-HINGE-02,Hardware,Blum 1/2 Overlay Hinges (Thick),250.0,20,10,50,Hinges,Each,Richelieu/Blum,$7.80,$0.00,Wall Bin A2,01/10/2025,MM/DD/YYYY,71B969180,N032778,50,,No,Yes,,"Product #71B969180, For doors up to 1-3/8"" thick, 110° opening angle, Order #N032778 (50 units, $389.79)",82,,https://www.richelieu.com/us/en/search?text=71B969180,"{""product_number"": ""71B969180"", ""name"": ""Blum 1/2 Overlay Hinges (Thick)"", ""supplier"": ""Richelieu/Blum"", ""mounting"": ""screw-on"", ""load_capacity"": null, ""material"": {""base"": ""Steel"", ""finish"": ""Nickel""}, ""soft_close"": {""enabled"": true, ""type"": ""BLUMOTION"", ""deactivatable"": true}, ""dimensions"": {""cup_diameter"": 35, ""cup_depth"": 13, ""unit"": ""mm""}, ""compatibility"": {""cabinet_type"": [""frameless""], ""door_thickness"": {""min"": 16, ""max"": 30, ""unit"": ""mm""}}, ""opening_angle"": 95, ""durability_cycles"": 200000, ""unit_weight"": {""value"": 82, ""unit"": ""grams""}, ""reorder_url"": ""https://www.richelieu.com/us/en/search?text=71B969180""}"
TCS-HW-HINGE-03,Hardware,Blum Full Overlay Hinges (Thick),38.0,20,1,2,Hinges,Box,Richelieu/Blum,$0.00,$0.00,Wall Bin A3,MM/DD/YYYY,MM/DD/YYYY,71B9550,,,,No,Yes,,~75-100 per box,80,,,"{""product_number"": ""71B9550"", ""name"": ""Blum Full Overlay Hinges (Thick)"", ""supplier"": ""Richelieu/Blum"", ""mounting"": ""screw-on"", ""load_capacity"": null, ""material"": {""base"": ""Steel"", ""finish"": ""Nickel""}, ""soft_close"": {""enabled"": true, ""type"": ""BLUMOTION"", ""deactivatable"": true}, ""dimensions"": {""cup_diameter"": 35, ""cup_depth"": 13, ""unit"": ""mm""}, ""compatibility"": {""cabinet_type"": [""frameless""], ""door_thickness"": {""min"": 24, ""max"": 32, ""unit"": ""mm""}}, ""opening_angle"": 95, ""durability_cycles"": 200000, ""unit_weight"": {""value"": 80, ""unit"": ""grams""}}"
